name,population_jp
三重県,1689000.0
京都府,2485000.0
佐賀県,793000.0
兵庫県,5287000.0
北海道,5098000.0
千葉県,6100000.0
和歌山県,896000.0
埼玉県,7136000.0
大分県,1092000.0
大阪府,8524000.0
奈良県,1291000.0
宮城県,2256000.0
宮崎県,1044000.0
富山県,998000.0
山口県,1297000.0
山形県,1033000.0
山梨県,784000.0
岐阜県,1888000.0
岡山県,1832000.0
岩手県,1173000.0
島根県,648000.0
広島県,2708000.0
徳島県,698000.0
愛媛県,1294000.0
愛知県,7228000.0
新潟県,2136000.0
東京都,13443000.0
栃木県,1865000.0
沖縄県,1446000.0
滋賀県,1373000.0
熊本県,1699000.0
石川県,1102000.0
神奈川県,8991000.0
福井県,738000.0
福岡県,5030000.0
福島県,1776000.0
秋田県,926000.0
群馬県,1850000.0
茨城県,2767000.0
長崎県,1272000.0
長野県,1984000.0
青森県,1198000.0
静岡県,3484000.0
香川県,920000.0
高知県,671000.0
鳥取県,539000.0
鹿児島県,1550000.0
